NUMBER,ID MENTEE,ID MENTOR,RATING,,RATING HELPER
116,B14364,A24331,3,,5
117,B97154,A51583,3,,4
118,B25637,A12792,5,,4
119,B14293,A30458,5,,3
120,B70109,A97882,4,,5
121,B32492,A27383,5,,3
122,B74082,A17202,3,,3
123,B60352,A93957,3,,5
124,B73028,A97882,3,,3
125,B65538,A57286,5,,5
126,B78609,A73598,4,,3
127,B73076,A57286,4,,4
128,B65645,A20256,5,,4
129,B78609,A92747,3,,3
130,B65645,A24513,5,,3
131,B74044,A78329,4,,3
132,B56574,A62677,3,,3
133,B17434,A89617,3,,4
134,B95533,A24331,3,,3
135,B89276,A81349,4,,4
136,B68815,A20256,5,,3
137,B86900,A78329,4,,4
138,B14293,A73598,5,,5
139,B37656,A80423,5,,4
140,B78609,A88752,4,,3
141,B77360,A57286,4,,4
142,B33502,A20256,4,,3
143,B16770,A51583,5,,3
144,B75165,A93957,4,,5
145,B75933,A53755,3,,3
146,B73028,A57575,4,,5
147,B62409,A12393,4,,3
148,B80176,A73467,4,,4
149,B14364,A21851,3,,5
150,B66104,A82450,5,,5
151,B78609,A12393,3,,3
152,B21082,A14069,5,,4
153,B87914,A38392,5,,3
154,B74044,A20256,4,,5
155,B95349,A88752,5,,3
156,B40985,A24513,4,,5
157,B63240,A19762,5,,3
158,B82924,A19425,4,,3
159,B84121,A17202,4,,5
160,B95123,A45646,5,,3
161,B95123,A39559,3,,5
162,B60023,A24513,5,,3
163,B22671,A93957,4,,4
164,B63214,A70822,4,,5
165,B52610,A31187,5,,3
166,B97154,A57286,3,,4
167,B34913,A98819,5,,4
168,B97219,A43196,4,,5
169,B35163,A82450,3,,3
170,B53498,A81349,3,,5
171,B83097,A57575,5,,5
172,B96044,A19425,4,,4
173,B75933,A20256,5,,4
174,B97154,A92747,5,,5
175,B53498,A50271,3,,3
176,B30726,A70822,4,,4
177,B60023,A90160,3,,5
178,B13633,A31187,3,,5
179,B22149,A82637,4,,3
180,B95332,A12792,5,,5
181,B49960,A92747,5,,3
182,B13633,A73041,5,,5
183,B28374,A93957,4,,5
184,B46503,A25108,5,,3
185,B83197,A88752,5,,3
186,B43459,A93957,3,,3
187,B89059,A80424,5,,5
188,B61712,A73041,5,,5
189,B72193,A62677,3,,5
190,B34913,A89617,3,,3
191,B37656,A39784,3,,5
192,B71567,A88752,5,,5
193,B25744,A38392,4,,4
194,B86001,A16943,3,,5
195,B55161,A80423,5,,5
196,B57106,A92747,5,,3
197,B48341,A43196,5,,3
198,B21082,A57575,5,,4
199,B41093,A78329,4,,5
200,B71081,A23866,4,,4
201,B34913,A98765,3,,5
202,B34623,A73598,5,,3
203,B65538,A25942,3,,4
204,B97219,A60653,3,,4
205,B87622,A20256,5,,4
206,B77878,A16943,3,,5
207,B74082,A38392,5,,3
208,B71331,A51583,3,,5
209,B71721,A38392,5,,5
210,B61712,A57286,3,,5
211,B69727,A51583,3,,5
212,B69727,A80424,4,,4
213,B66807,A43196,4,,4
214,B88135,A39784,4,,5
215,B35721,A12393,5,,3
216,B49619,A62677,3,,4
217,B21875,A92747,5,,4
218,B12771,A80424,5,,3
219,B97219,A16227,3,,5
220,B15401,A33637,4,,3
221,B74397,A51583,3,,3
222,B46503,A20253,4,,4
223,B55161,A30458,3,,3
224,B71721,A73598,5,,4
225,B96044,A39784,4,,3
226,B63214,A50271,4,,5
227,B69195,A80424,3,,4
228,B88135,A78329,3,,4
229,B39531,A15364,5,,4
230,B25744,A45646,5,,4
231,B32492,A45646,3,,5
232,B34543,A17202,5,,4
233,B21082,A12393,5,,4
234,B49960,A82450,3,,3
235,B17434,A22996,5,,4
236,B69727,A39784,3,,3
237,B96044,A82637,3,,4
238,B17434,A12792,4,,5
239,B63214,A97882,5,,4
240,B53498,A25108,4,,5
241,B73076,A20256,4,,4
242,B48525,A19762,3,,4
243,B75757,A39784,3,,4
244,B86001,A39559,5,,5
245,B36652,A39784,5,,5
246,B20478,A80424,5,,4
247,B61521,A81349,5,,3
248,B28374,A24513,3,,4
249,B49960,A57575,3,,4
250,B92364,A30458,3,,5
251,B21082,A80424,4,,5
252,B37656,A78329,3,,3
253,B30726,A73467,4,,4
254,B92364,A22996,3,,4
255,B93026,A25108,3,,3
256,B48525,A43196,4,,5
257,B89702,A21851,3,,3
258,B18229,A39559,4,,4
259,B34543,A19425,4,,5
260,B16770,A24513,4,,4
261,B30221,A16227,5,,3
262,B86900,A31187,3,,5
263,B75757,A73598,3,,5
264,B97219,A24513,4,,5
265,B65645,A56161,3,,5
266,B72690,A78329,5,,3
267,B66104,A80424,4,,5
268,B36652,A27383,5,,4
269,B92364,A50271,4,,5
270,B83197,A16227,3,,4
271,B33747,A82450,3,,5
272,B61712,A70694,4,,4
273,B56574,A17202,3,,4
274,B46502,A19425,4,,5
275,B77878,A19425,3,,4
276,B60023,A73467,3,,5
277,B75757,A12393,5,,3
278,B30726,A19425,3,,5
279,B39662,A88752,5,,5
280,B95349,A25108,4,,3
281,B66104,A23866,3,,4
282,B49960,A62677,4,,4
283,B84121,A31187,4,,4
284,B28374,A19762,3,,5
285,B64593,A16227,4,,4
286,B83097,A56161,3,,5
287,B35721,A14069,5,,3
288,B39662,A39559,5,,3
289,B43459,A12792,3,,4
290,B63240,A22996,5,,5
291,B96044,A70822,3,,5
292,B13633,A38392,3,,3
293,B89702,A82637,4,,5
294,B71721,A23866,5,,5
295,B71331,A24331,4,,4
296,B71721,A70694,5,,4
297,B33747,A62677,4,,5
298,B39531,A92747,5,,3
299,B73028,A89617,5,,3
300,B89702,A14069,3,,3
301,B61712,A39559,3,,3
302,B77878,A39784,5,,3
303,B78609,A97882,3,,3
304,B33747,A93957,4,,3
305,B30221,A24513,5,,3
306,B60023,A31187,5,,3
307,B86001,A20253,5,,3
308,B75165,A89617,4,,3
309,B93251,A27383,3,,3
310,B93026,A73467,5,,3
311,B71721,A24331,4,,4
312,B52610,A70694,3,,4
313,B95332,A70694,3,,4
314,B73076,A53755,3,,4
315,B77360,A15364,4,,4
316,B39662,A89617,4,,5
317,B70109,A17202,3,,3
318,B32492,A93957,3,,3
319,B34623,A81349,4,,4
320,B88135,A31187,4,,4
321,B83197,A62677,5,,3
322,B22671,A22996,4,,4
323,B14293,A97882,4,,3
324,B60352,A88752,4,,5
325,B60352,A98765,5,,5
326,B19086,A25942,5,,5
327,B75933,A57286,5,,5
328,B86523,A30458,5,,3
329,B35163,A12792,4,,5
330,B25534,A73467,5,,5
331,B32492,A19425,5,,4
332,B32492,A43196,3,,4
333,B77878,A57286,3,,3
334,B89702,A50271,5,,3
335,B30726,A93957,5,,4
336,B75757,A70694,5,,4
337,B97154,A90160,4,,5
338,B93026,A30458,4,,5
339,B32652,A23866,3,,5
340,B43459,A60653,4,,5
341,B55161,A38392,5,,5
342,B32652,A12393,4,,5
343,B73028,A57286,4,,5
344,B49619,A80423,3,,3
345,B83097,A93957,5,,5
346,B54497,A33637,3,,4
347,B46503,A81349,5,,3
348,B49619,A89617,5,,4
349,B72690,A73467,3,,3
350,B44112,A39784,4,,3
351,B52610,A43196,3,,4
352,B69195,A82637,5,,5
353,B13633,A80424,5,,5
354,B52610,A30458,4,,4
355,B35163,A38392,5,,3
356,B65538,A19762,5,,3
357,B42987,A78329,5,,5
358,B97154,A82637,3,,3
359,B43299,A22996,4,,3
360,B86001,A57575,5,,5
361,B48341,A31187,3,,5
362,B98465,A82637,5,,5
363,B88135,A30458,4,,4
364,B71721,A56161,4,,4
365,B78609,A90160,5,,4
366,B17434,A17202,5,,3
367,B66104,A45646,3,,3
368,B55161,A51583,3,,3
369,B52610,A93957,4,,4
370,B82924,A90160,5,,3
371,B55161,A43196,5,,3
372,B17434,A98765,5,,5
373,B87622,A19425,3,,4
374,B63214,A51583,3,,5
375,B63240,A80423,4,,5
376,B30221,A51583,3,,5
377,B63894,A82637,3,,4
378,B42987,A97882,5,,5
379,B68815,A28409,4,,3
380,B42532,A31187,4,,4
381,B32492,A38392,4,,5
382,B86523,A80423,3,,4
383,B38657,A88752,3,,4
384,B21875,A57286,5,,3
385,B90860,A82637,4,,3
386,B90720,A16943,4,,3
387,B82924,A27383,5,,5
388,B11532,A92747,4,,4
389,B61712,A50271,4,,3
390,B95349,A70822,4,,4
391,B84121,A90160,3,,3
392,B89276,A38392,4,,5
393,B12771,A73041,5,,5
394,B14293,A98819,4,,4
395,B52610,A28409,5,,3
396,B86900,A33637,5,,5
397,B41093,A16227,3,,4
398,B35163,A19762,4,,5
399,B72193,A73041,4,,3
400,B61521,A82637,5,,5
401,B86900,A73467,5,,4
402,B48525,A78329,4,,5
403,B90860,A17202,5,,4
404,B28532,A38392,5,,3
405,B42987,A80423,3,,4
406,B46503,A62677,4,,5
407,B83097,A16227,5,,3
408,B33747,A51583,3,,5
409,B95533,A73598,3,,4
410,B36652,A16943,3,,4
411,B30726,A98819,3,,3
412,B49785,A22996,4,,3
413,B74397,A81349,5,,3
414,B55161,A17202,5,,5
415,B92364,A25942,5,,3
416,B54497,A90160,3,,3
417,B64320,A12792,4,,3
418,B71331,A74768,3,,3
419,B49619,A31187,3,,5
420,B22149,A19425,4,,3
421,B72690,A22996,4,,3
422,B97219,A89617,3,,5
423,B96044,A88752,5,,5
424,B66104,A60653,3,,5
425,B63240,A12393,4,,3
426,B83097,A25942,4,,3
427,B82924,A73598,5,,4
428,B39531,A50271,3,,5
429,B69727,A73467,3,,5
430,B73028,A12393,3,,3
431,B48341,A81349,3,,3
432,B25744,A22996,4,,5
433,B49960,A73467,4,,5
434,B74082,A28409,4,,4
435,B20478,A90160,4,,5
436,B53498,A15364,4,,3
437,B32652,A93957,5,,4
438,B69195,A70694,5,,3
439,B86523,A92747,4,,3
440,B48341,A88752,5,,3
441,B20478,A24513,4,,4
442,B92364,A21851,5,,3
443,B63894,A97882,3,,4
444,B70109,A15364,4,,5
445,B69195,A25942,5,,5
446,B54497,A98819,4,,5
447,B39531,A31187,3,,5
448,B78609,A23866,4,,5
449,B20478,A51583,3,,5
450,B63240,A89617,5,,3
451,B93251,A82450,4,,3
452,B96044,A93957,4,,5
453,B74082,A60653,4,,5
454,B36652,A90160,4,,5
455,B25744,A90160,3,,4
456,B77360,A12393,5,,5
457,B75933,A78329,3,,5
458,B90720,A62677,4,,4
459,B60352,A30458,3,,4
460,B88135,A70822,3,,3
461,B66104,A92747,4,,5
462,B57106,A50271,4,,3
463,B14364,A14069,4,,3
464,B75165,A19425,5,,4
465,B18229,A80423,4,,3
466,B80176,A98765,5,,5
467,B49619,A70694,3,,5
468,B49960,A24513,4,,5
469,B88135,A82450,3,,4
470,B34623,A22996,3,,3
471,B21875,A23866,4,,4
472,B86001,A33637,5,,3
473,B89276,A57286,4,,5
474,B12771,A17202,4,,3
475,B95349,A31187,5,,3
476,B74397,A98819,3,,4
477,B87622,A62677,5,,4
478,B74082,A81349,5,,3
479,B46502,A25942,5,,5
480,B86523,A90160,4,,4
481,B63894,A98819,4,,4
482,B89059,A90160,4,,3
483,B89702,A73041,4,,5
484,B71081,A93957,4,,4
485,B15401,A25942,3,,4
486,B33747,A33637,5,,3
487,B83097,A78329,5,,3
488,B86001,A80423,5,,3
489,B69195,A20253,3,,5
490,B62409,A16943,5,,3
491,B69727,A70694,4,,3
492,B56574,A16943,5,,5
493,B41093,A70694,4,,4
494,B35163,A12393,5,,4
495,B64593,A39784,3,,3
496,B63240,A17202,3,,4
497,B14364,A25108,4,,3
498,B86900,A98765,3,,4
499,B63077,A20256,4,,3
500,B39662,A28409,4,,4
501,B60023,A22996,3,,3
502,B77360,A62677,5,,3
503,B78687,A19762,4,,3
504,B48525,A31187,4,,5
505,B49619,A22996,3,,5
506,B73076,A93957,4,,4
507,B54497,A56161,4,,3
508,B63077,A19762,5,,5
509,B71721,A98819,4,,5
510,B92364,A25108,3,,3
511,B90720,A31187,4,,3
512,B25744,A70822,5,,4
513,B65645,A73467,5,,5
514,B86523,A53755,4,,3
515,B88135,A22996,5,,5
516,B57106,A22996,3,,3
517,B25637,A20256,4,,3
518,B12771,A81349,5,,4
519,B53968,A73598,3,,5
520,B64593,A73598,5,,3
521,B63214,A16227,4,,5
522,B19086,A24513,4,,5
523,B49785,A62677,3,,5
524,B72193,A73598,3,,3
525,B83097,A50271,4,,3
526,B87622,A15364,4,,5
527,B56574,A22996,3,,3
528,B52610,A39559,4,,5
529,B95349,A82450,3,,5
530,B96044,A17202,5,,4
531,B69195,A22996,3,,5
532,B88135,A20256,5,,3
533,B14293,A50271,5,,5
534,B89702,A70694,3,,5
535,B32492,A73041,3,,4
536,B71721,A98765,5,,3
537,B20478,A81349,3,,4
538,B42532,A80423,3,,3
539,B40985,A53755,4,,4
540,B34623,A24331,3,,5
541,B82924,A30458,5,,4
542,B63240,A24331,5,,3
543,B30221,A82637,5,,5
544,B17434,A39559,3,,5
545,B84121,A50271,4,,4
546,B74044,A30458,4,,3
547,B32652,A43196,3,,5
548,B71721,A19762,4,,5
549,B15401,A82637,3,,5
550,B61521,A88752,4,,5
551,B46503,A73467,3,,5
552,B44112,A16943,4,,5
553,B71721,A43196,3,,3
554,B11532,A19425,5,,3
555,B48525,A60653,3,,4
556,B72690,A27383,5,,5
557,B65645,A78329,3,,4
558,B48341,A19425,4,,3
559,B89276,A14069,4,,4
560,B96044,A30458,4,,5
561,B17434,A93957,3,,3
562,B54497,A51583,3,,3
563,B25534,A56161,4,,4
564,B69727,A53755,3,,4
565,B37656,A51583,3,,4
566,B21082,A39784,5,,4
567,B95123,A19425,3,,4
568,B68815,A31187,3,,5
569,B19086,A57286,3,,5
570,B78687,A24513,2,,3
571,B74044,A89617,3,,4
572,B68815,A73041,3,,4
573,B87914,A25108,5,,3
574,B25744,A53755,5,,4
575,B63240,A33637,3,,4
576,B77360,A16943,4,,4
577,B19086,A21851,4,,5
578,B34543,A25942,5,,3
579,B39662,A31187,4,,3
580,B25744,A14069,5,,3
581,B64320,A60653,5,,3
582,B71721,A89617,1,,3
583,B53498,A16943,5,,5
584,B22671,A50271,4,,3
585,B35163,A30458,5,,3
586,B63240,A57575,5,,3
587,B92364,A27383,5,,4
588,B63214,A73598,4,,4
589,B78609,A16227,3,,3
590,B71567,A24331,4,,4
591,B22671,A31187,3,,4
592,B43299,A92747,5,,5
593,B71081,A98765,4,,5
594,B46502,A25108,5,,3
595,B95123,A57575,3,,5
596,B43459,A82637,5,,3
597,B43299,A23866,3,,4
598,B71567,A62677,4,,3
599,B43459,A51583,4,,3
600,B32652,A80424,4,,3
601,B93026,A15364,3,,3
602,B32652,A57286,5,,5
603,B62409,A90160,5,,4
604,B35721,A98819,3,,3
605,B86001,A45646,3,,3
606,B43459,A20256,5,,5
607,B96044,A57286,5,,4
608,B71081,A28409,3,,4
609,B60023,A20256,4,,3
610,B36652,A15364,3,,4
611,B95123,A20253,5,,4
612,B71331,A31187,5,,4
613,B83097,A73467,5,,3
614,B72690,A15364,4,,3
615,B82924,A88752,2,,3
616,B22149,A73041,4,,3
617,B35721,A78329,3,,5
618,B53968,A14069,5,,4
619,B35163,A14069,3,,5
620,B14293,A62677,5,,3
621,B21082,A80423,4,,5
622,B69195,A51583,3,,3
623,B12771,A15364,4,,3
624,B49619,A19425,5,,3
625,B53968,A50271,3,,5
626,B35721,A19425,3,,3
627,B60023,A62677,4,,4
628,B49619,A73467,5,,5
629,B34623,A25942,3,,5
630,B64593,A39559,4,,3
631,B93026,A97882,3,,5
632,B95332,A73041,4,,4
633,B35721,A21851,5,,3
634,B74044,A19762,3,,4
635,B39662,A24513,1,,4
636,B18229,A51583,4,,5
637,B93251,A14069,5,,4
638,B54497,A12792,3,,4
639,B60352,A33637,4,,5
640,B80176,A15364,1,,3
641,B12771,A74768,5,,3
642,B95349,A93957,5,,3
643,B86900,A22996,4,,3
644,B69195,A88752,5,,5
645,B71081,A19425,4,,5
646,B52610,A82450,4,,3
647,B61521,A93957,3,,5
648,B41093,A70822,3,,3
649,B22671,A27383,4,,4
650,B34623,A45646,3,,5
651,B82924,A14069,4,,3
652,B73076,A12393,3,,5
653,B73076,A73467,4,,5
654,B38657,A31187,2,,3
655,B78687,A81349,3,,3
656,B82924,A89617,3,,3
657,B42987,A51583,4,,5
658,B25637,A92747,4,,5
659,B28532,A97882,4,,4
660,B95533,A23866,3,,4
661,B25744,A39784,5,,4
662,B40985,A12393,4,,5
663,B98465,A81349,4,,5
664,B44112,A82637,5,,4
665,B61521,A17202,5,,3
666,B87914,A56161,3,,5
667,B13633,A12792,4,,4
668,B93026,A16943,4,,4
669,B95123,A73598,3,,3
670,B21082,A17202,5,,4
671,B57106,A12792,3,,5
672,B25744,A33637,3,,3
673,B73076,A19425,5,,4
674,B34623,A39559,3,,3
675,B46503,A74768,5,,5
676,B14364,A90160,3,,4
677,B53968,A78329,5,,3
678,B22149,A39784,3,,5
679,B87622,A93957,3,,5
680,B68815,A15364,4,,3
681,B95349,A45646,5,,3
682,B52610,A33637,4,,3
683,B63240,A20253,5,,3
684,B48525,A70822,3,,4
685,B74082,A70822,3,,3
686,B97154,A16943,4,,5
687,B71721,A81349,3,,5
688,B19086,A82450,3,,3
689,B69727,A12393,3,,4
690,B34543,A16227,3,,3
691,B64320,A20256,4,,5
692,B86900,A12792,4,,4
693,B34543,A50271,5,,3
694,B53968,A38392,3,,4
695,B49785,A19425,4,,3
696,B95533,A12393,3,,3
697,B96044,A14069,3,,3
698,B87622,A57286,3,,3
699,B12771,A19762,4,,4
700,B72690,A25942,4,,3
701,B25744,A57575,5,,4
702,B39531,A43196,5,,4
703,B60352,A16943,5,,5
704,B60023,A17202,4,,5
705,B71331,A43196,5,,5
706,B37656,A73041,4,,3
707,B73076,A70694,4,,5
708,B74082,A73598,5,,4
709,B42532,A93957,5,,3
710,B36652,A62677,5,,5
711,B97219,A73598,3,,3
712,B32492,A90160,4,,5
713,B90720,A30458,5,,4
714,B52610,A62677,4,,4
715,B34623,A12792,5,,5
716,B14364,A20256,3,,4
717,B28374,A30458,3,,4
718,B56574,A80423,4,,5
719,B80176,A74768,4,,5
720,B90860,A57286,3,,5
721,B77360,A98819,3,,4
722,B74082,A16943,5,,4
723,B63240,A43196,5,,5
724,B77360,A56161,3,,3
725,B25637,A33637,5,,3
726,B86523,A16943,5,,5
727,B43299,A98765,5,,5
728,B82924,A21851,4,,3
729,B34543,A28409,4,,3
730,B54497,A70694,3,,3
731,B38657,A98765,4,,3
732,B77360,A93957,4,,4
733,B63077,A82637,4,,4
734,B95123,A78329,2,,3
735,B30221,A28409,3,,5
736,B73076,A28409,3,,5
737,B33747,A81349,3,,3
738,B18229,A73467,4,,4
739,B97219,A45646,4,,4
740,B48341,A20256,3,,5
741,B49785,A93957,4,,4
742,B42987,A21851,5,,4
743,B11532,A62677,3,,5
744,B60352,A12792,4,,3
745,B95332,A74768,5,,5
746,B90860,A98765,3,,4
747,B21082,A27383,1,,3
748,B74397,A88752,3,,5
749,B61712,A24331,3,,3
750,B90720,A92747,3,,5
751,B73028,A73041,5,,3
752,B71721,A39559,3,,4
753,B12771,A88752,5,,5
754,B15401,A81349,4,,4
755,B64320,A17202,5,,3
756,B87622,A74768,4,,3
757,B71331,A15364,3,,5
758,B89059,A20256,2,,3
759,B17434,A53755,5,,4
760,B28374,A23866,3,,4
761,B90720,A81349,3,,4
762,B39662,A98765,5,,5
763,B69195,A73598,5,,4
764,B46502,A56161,3,,5
765,B71331,A57286,5,,3
766,B34623,A89617,3,,4
767,B17434,A23866,4,,5
768,B21875,A25108,4,,5
769,B93251,A12792,5,,5
770,B71567,A82637,4,,5
771,B68815,A16943,3,,4
772,B32652,A98819,3,,4
773,B90860,A19425,5,,3
774,B56574,A60653,5,,4
775,B63894,A90160,4,,5
776,B34543,A90160,5,,5
777,B56574,A20256,1,,4
778,B75933,A14069,3,,5
779,B69195,A89617,4,,3
780,B57106,A23866,4,,3
781,B83197,A78329,3,,5
782,B95123,A24513,4,,5
783,B14293,A14069,3,,4
784,B86523,A97882,4,,5
785,B72193,A20256,4,,4
786,B63077,A93957,4,,3
787,B46502,A78329,5,,4
788,B37656,A17202,3,,3
789,B87914,A39559,3,,4
790,B71331,A22996,2,,5
791,B43459,A70822,3,,5
792,B66104,A20256,3,,5
793,B82924,A24331,3,,4
794,B63894,A80424,4,,3
795,B33502,A38392,4,,4
796,B14364,A98765,5,,5
797,B72193,A70822,5,,3
798,B48525,A24331,5,,3
799,B19086,A78329,3,,5
800,B63214,A82637,3,,4
801,B32652,A89617,3,,3
802,B14293,A20253,4,,4
803,B89276,A45646,5,,5
804,B63240,A51583,3,,5
805,B97219,A73041,4,,4
806,B12771,A30458,4,,4
807,B35721,A73598,3,,4
808,B57106,A53755,4,,5
809,B25637,A73467,4,,5
810,B53968,A53755,5,,3
811,B92364,A20256,4,,3
812,B97219,A98765,5,,5
813,B49960,A98819,4,,4
814,B36652,A56161,3,,5
815,B77878,A90160,3,,5
816,B97154,A57575,4,,5
817,B97154,A20253,3,,5
818,B46502,A89617,5,,5
819,B74082,A78329,3,,3
820,B14364,A19425,4,,5
821,B49960,A73598,3,,5
822,B39662,A73041,3,,5
823,B70109,A22996,5,,5
824,B66104,A88752,3,,4
825,B18229,A62677,5,,4
826,B42987,A24331,3,,5
827,B37656,A56161,5,,4
828,B75933,A73598,3,,5
829,B57106,A12393,4,,3
830,B61521,A80423,3,,4
831,B97154,A39559,3,,4
832,B35721,A39784,5,,3
833,B60352,A73041,3,,4
834,B35163,A90160,3,,3
835,B34913,A73041,5,,3
836,B43459,A16943,3,,5
837,B40985,A28409,5,,5
838,B93251,A73041,4,,3
839,B84121,A73467,4,,3
840,B64593,A98819,4,,5
841,B48341,A20253,4,,4
842,B32492,A39559,5,,4
843,B11532,A73041,5,,4
844,B74082,A22996,4,,3
845,B98465,A25942,5,,5
846,B30221,A25108,4,,5
847,B25534,A17202,3,,5
848,B42987,A70822,5,,5
849,B61521,A15364,3,,4
850,B72690,A82450,5,,4
851,B15401,A74768,4,,4
852,B33502,A15364,5,,3
853,B75933,A33637,3,,3
854,B73076,A90160,4,,3
855,B41093,A82450,3,,5
856,B86001,A30458,4,,5
857,B73076,A14069,5,,5
858,B38657,A19762,5,,4
859,B37656,A27383,4,,5
860,B25744,A24331,5,,5
861,B92364,A73467,2,,5
862,B96044,A20256,4,,4
863,B38657,A14069,3,,3
864,B14364,A12393,4,,5
865,B95533,A88752,5,,5
866,B16770,A20256,5,,4
867,B46502,A22996,4,,5
868,B16770,A57286,4,,5
869,B65538,A88752,3,,3
870,B90860,A73467,2,,3
871,B87622,A17202,5,,4
872,B73028,A50271,5,,4
873,B90720,A39559,5,,4
874,B88135,A45646,4,,4
875,B87914,A62677,3,,4
876,B36652,A53755,5,,3
877,B25744,A92747,3,,5
878,B83197,A15364,3,,3
879,B78609,A31187,5,,4
880,B92364,A15364,3,,5
881,B89059,A15364,3,,5
882,B95332,A92747,3,,5
883,B18229,A45646,3,,5
884,B43459,A38392,5,,4
885,B14364,A56161,3,,4
886,B71081,A38392,2,,5
887,B36652,A33637,5,,5
888,B95332,A78329,4,,3
889,B14364,A92747,4,,4
890,B28532,A93957,3,,4
891,B41093,A50271,3,,5
892,B49785,A21851,4,,5
893,B15401,A73467,3,,4
894,B49785,A12393,3,,3
895,B69195,A80423,4,,3
896,B95349,A33637,3,,4
897,B20478,A33637,5,,5
898,B32652,A78329,5,,5
899,B78609,A62677,4,,3
900,B35163,A70822,3,,3
901,B89702,A38392,5,,3
902,B35721,A27383,5,,3
903,B95332,A15364,3,,3
904,B84121,A56161,5,,3
905,B11532,A24331,4,,4
906,B61521,A19762,5,,4
907,B35721,A38392,5,,3
908,B43299,A73041,4,,3
909,B77878,A97882,5,,4
910,B43299,A80424,3,,5
911,B89702,A92747,5,,4
912,B66807,A62677,5,,3
913,B69195,A20256,4,,3
914,B17434,A70822,5,,3
915,B43299,A89617,4,,5
916,B75933,A62677,3,,4
917,B53968,A70694,4,,5
918,B72193,A73467,3,,4
919,B40985,A38392,5,,5
920,B39531,A81349,3,,5
921,B63894,A89617,3,,5
922,B11532,A12393,4,,3
923,B86900,A50271,3,,3
924,B32652,A81349,5,,4
925,B46502,A92747,5,,3
926,B46502,A17202,5,,3
927,B74044,A17202,5,,5
928,B86900,A82450,5,,3
